level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	885	1119	-1	
2	1	1	0	0	0	37	337	770	484	-1	
3	1	1	1	0	0	37	337	744	281	-1	
4	1	1	1	1	0	49	337	731	79	-1	
5	1	1	1	1	1	49	337	119	79	92.049965	目
5	1	1	1	1	2	179	341	53	72	93.054352	动
5	1	1	1	1	3	249	343	81	72	92.754929	记
5	1	1	1	1	4	331	338	82	77	87.557274	账
5	1	1	1	1	5	433	338	144	77	96.465225	权限
5	1	1	1	1	6	582	338	49	77	95.087234	未
5	1	1	1	1	7	651	338	129	77	94.514610	开局
4	1	1	1	2	0	37	503	744	45	-1	
5	1	1	1	2	1	37	503	45	45	92.873924	未
5	1	1	1	2	2	101	503	77	45	92.891174	开启
5	1	1	1	2	3	196	518	4	25	92.828896	:
5	1	1	1	2	4	257	503	72	45	93.290184	通知
5	1	1	1	2	5	353	503	28	45	92.778328	读
5	1	1	1	2	6	400	506	32	42	92.948868	取
5	1	1	1	2	7	448	504	34	44	93.167587	权
5	1	1	1	2	8	509	506	42	42	93.192757	限
5	1	1	1	2	9	557	466	49	109	91.477966	、
5	1	1	1	2	10	605	507	25	41	92.291779	无
5	1	1	1	2	11	652	503	79	45	93.276070	障碍
5	1	1	1	2	12	748	504	33	44	93.067505	权
4	1	1	1	3	0	40	573	341	45	-1	
5	1	1	1	3	1	40	576	62	42	92.818810	限
5	1	1	1	3	2	104	536	48	109	92.997025	、
5	1	1	1	3	3	151	575	31	42	42.392929	悬
5	1	1	1	3	4	206	574	26	44	85.160004	浮
5	1	1	1	3	5	254	573	27	45	88.000023	窗
5	1	1	1	3	6	301	574	80	44	96.560341	权限
3	1	1	2	0	0	431	777	376	44	-1	
4	1	1	2	1	0	431	777	376	44	-1	
5	1	1	2	1	1	431	777	94	44	91.464249	稍
5	1	1	2	1	2	515	739	83	109	29.814014	后
5	1	1	2	1	3	679	777	28	44	78.932404	去
5	1	1	2	1	4	726	778	81	43	65.845230	设置
