level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	800	-1	
2	1	1	0	0	0	128	129	753	510	-1	
3	1	1	1	0	0	128	129	753	510	-1	
4	1	1	1	1	0	128	129	195	46	-1	
5	1	1	1	1	1	128	129	92	46	93.283180	期
5	1	1	1	1	2	228	130	15	44	92.761986	间
5	1	1	1	1	3	245	129	78	45	92.788483	汇
5	1	1	1	1	4	288	125	36	71	97.005081	总
4	1	1	1	2	0	172	275	604	38	-1	
5	1	1	1	2	1	172	275	80	38	96.919800	收入
5	1	1	1	2	2	698	275	78	38	96.402458	支出
4	1	1	1	3	0	169	354	712	41	-1	
5	1	1	1	3	1	169	355	228	40	66.769478	Y1,820.00
5	1	1	1	3	2	696	354	185	36	80.849930	Y232.50
4	1	1	1	4	0	171	523	605	38	-1	
5	1	1	1	4	1	171	523	37	38	92.980171	转
5	1	1	1	4	2	229	524	23	37	86.191315	入
5	1	1	1	4	3	698	523	78	38	92.997940	转
5	1	1	1	4	4	751	512	28	71	91.558601	出
4	1	1	1	5	0	169	603	712	36	-1	
5	1	1	1	5	1	169	603	184	36	54.585957	Y150.00
5	1	1	1	5	2	696	603	185	36	78.209946	Y200.00
