level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	500	-1	
2	1	1	0	0	0	128	58	952	319	-1	
3	1	1	1	0	0	128	58	952	319	-1	
4	1	1	1	1	0	135	58	813	52	-1	
5	1	1	1	1	1	135	59	56	36	93.102463	日
5	1	1	1	1	2	190	60	17	36	96.688004	期
5	1	1	1	1	3	229	58	63	38	63.369926	范围
5	1	1	1	1	4	901	95	47	15	24.095249	加
4	1	1	1	2	0	901	96	179	46	-1	
5	1	1	1	2	1	901	111	47	31	0.000000	茸
5	1	1	1	2	2	985	96	95	45	96.498611	修改
4	1	1	1	3	0	128	136	585	36	-1	
5	1	1	1	3	1	128	136	267	36	91.595436	2026-01-01
5	1	1	1	3	2	415	154	12	5	90.803276	-
5	1	1	1	3	3	446	136	267	36	92.349617	2026-01-19
4	1	1	1	4	0	189	337	885	40	-1	
5	1	1	1	4	1	189	338	39	38	96.766640	本
5	1	1	1	4	2	234	340	30	37	89.666481	月
5	1	1	1	4	3	421	338	38	37	91.478577	上
5	1	1	1	4	4	465	340	30	37	89.274216	月
5	1	1	1	4	5	653	337	38	37	85.630913	近
5	1	1	1	4	6	698	339	18	31	95.607048	7
5	1	1	1	4	7	728	339	30	36	96.779366	天
5	1	1	1	4	8	909	338	81	38	96.596542	测试
5	1	1	1	4	9	1008	338	66	39	96.936455	数据
