level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	800	-1	
2	1	1	0	0	0	128	3	965	788	-1	
3	1	1	1	0	0	169	3	712	36	-1	
4	1	1	1	1	0	169	3	712	36	-1	
5	1	1	1	1	1	169	4	49	34	28.045238	兰
5	1	1	1	1	2	227	3	127	36	89.713249	150.00
5	1	1	1	1	3	696	3	46	35	61.710125	兰
5	1	1	1	1	4	741	3	140	36	90.326111	200.00
3	1	1	2	0	0	170	262	608	41	-1	
4	1	1	2	1	0	170	262	608	41	-1	
5	1	1	2	1	1	170	263	39	38	93.031731	净
5	1	1	2	1	2	224	262	28	40	87.630966	变
5	1	1	2	1	3	273	263	20	40	92.393730	动
5	1	1	2	1	4	697	263	81	39	96.677940	期
5	1	1	2	1	5	751	246	30	78	86.286003	末
3	1	1	3	0	0	128	342	796	158	-1	
4	1	1	3	1	0	169	342	755	41	-1	
5	1	1	3	1	1	169	342	228	41	0.000000	1,537.50
5	1	1	3	1	2	696	343	228	40	0.000000	Y#1,537.50
4	1	1	3	2	0	128	462	205	38	-1	
5	1	1	3	2	1	128	462	80	38	91.752876	期
5	1	1	3	2	2	202	442	30	78	86.633400	初
5	1	1	3	2	3	225	465	108	31	86.633400	Y0.00
3	1	1	4	0	0	128	611	965	180	-1	
4	1	1	4	1	0	185	611	908	52	-1	
5	1	1	4	1	1	185	611	144	52	96.083878	账单
5	1	1	4	1	2	332	614	18	49	92.547028	期
5	1	1	4	1	3	380	612	30	51	76.879509	末
5	1	1	4	1	4	429	611	39	51	78.491440	余
5	1	1	4	1	5	493	612	33	51	80.325592	额
5	1	1	4	1	6	968	620	81	39	90.488594	差异
5	1	1	4	1	7	1066	639	27	4	86.002327	--
4	1	1	4	2	0	128	756	471	35	-1	
5	1	1	4	2	1	128	756	74	35	95.210327	差异
5	1	1	4	2	2	225	769	10	9	94.162827	=
5	1	1	4	2	3	266	756	86	35	95.141045	账单
5	1	1	4	2	4	370	756	19	35	96.928764	期
5	1	1	4	2	5	388	735	25	65	87.537430	未
5	1	1	4	2	6	424	774	6	3	93.060776	-
5	1	1	4	2	7	457	756	86	35	96.898239	计算
5	1	1	4	2	8	542	735	33	65	92.975105	期
5	1	1	4	2	9	574	756	25	35	78.734451	末
