level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	1300	-1	
2	1	1	0	0	0	128	29	967	1223	-1	
3	1	1	1	0	0	128	29	967	1223	-1	
4	1	1	1	1	0	128	29	366	46	-1	
5	1	1	1	1	1	128	29	195	46	93.248520	期
5	1	1	1	1	2	201	25	44	69	92.627968	间
5	1	1	1	1	3	244	29	57	46	93.041634	汇
5	1	1	1	1	4	300	25	36	69	89.500183	总
5	1	1	1	1	5	357	29	137	46	6.184464	(筛选
5	1	1	1	1	6	481	25	14	69	91.992966	)
4	1	1	1	2	0	172	175	604	38	-1	
5	1	1	1	2	1	172	175	80	38	92.199013	收入
5	1	1	1	2	2	698	175	78	38	74.547043	支出
4	1	1	1	3	0	169	254	654	41	-1	
5	1	1	1	3	1	169	255	27	34	0.000000	半
5	1	1	1	3	2	199	255	198	40	91.315643	3,640.00
5	1	1	1	3	3	696	255	27	34	45.854183	关
5	1	1	1	3	4	726	254	97	36	70.212273	0.00
4	1	1	1	4	0	171	423	605	38	-1	
5	1	1	1	4	1	171	423	37	38	92.155602	转
5	1	1	1	4	2	226	424	26	37	87.133797	入
5	1	1	1	4	3	698	423	78	38	88.554344	转
5	1	1	1	4	4	747	393	31	95	77.241272	册
4	1	1	1	5	0	169	503	654	36	-1	
5	1	1	1	5	1	169	504	27	34	0.000000	半
5	1	1	1	5	2	200	503	96	36	92.755959	0.00
5	1	1	1	5	3	696	504	27	34	0.000000	半
5	1	1	1	5	4	726	503	97	36	92.805031	0.00
4	1	1	1	6	0	170	762	608	41	-1	
5	1	1	1	6	1	170	763	39	38	86.060699	净
5	1	1	1	6	2	225	762	27	40	77.264175	变
5	1	1	1	6	3	266	763	27	40	25.801258	动
5	1	1	1	6	4	698	763	80	39	96.677742	期
5	1	1	1	6	5	758	734	25	94	68.496933	未
4	1	1	1	7	0	169	842	755	41	-1	
5	1	1	1	7	1	169	843	27	34	22.883793	关
5	1	1	1	7	2	207	842	190	41	48.786663	3,640.00
5	1	1	1	7	3	696	843	27	34	0.000000	半
5	1	1	1	7	4	726	843	198	40	89.399353	3,640.00
4	1	1	1	8	0	128	962	205	38	-1	
5	1	1	1	8	1	128	962	80	38	92.031258	期
5	1	1	1	8	2	225	965	12	31	90.317528	初
5	1	1	1	8	3	236	965	97	31	44.190582	Y0.00
4	1	1	1	9	0	129	1039	743	36	-1	
5	1	1	1	9	1	129	1039	88	35	52.441597	筛选
5	1	1	1	9	2	228	1039	76	35	96.225945	汇总
5	1	1	1	9	3	303	1035	32	55	96.948166	用
5	1	1	1	9	4	334	1041	42	32	96.930283	于
5	1	1	1	9	5	375	1039	76	35	93.267494	观察
5	1	1	1	9	6	458	1040	20	34	90.824318	净
5	1	1	1	9	7	496	1039	52	35	91.936386	变
5	1	1	1	9	8	568	1066	3	9	92.222008	动
5	1	1	1	9	9	582	1035	32	55	87.763664	，
5	1	1	1	9	10	613	1040	38	34	92.390175	不
5	1	1	1	9	11	651	1039	63	35	96.709488	代表
5	1	1	1	9	12	730	1039	62	35	96.857079	真实
5	1	1	1	9	13	812	1039	60	35	96.674400	余额
4	1	1	1	10	0	185	1105	255	39	-1	
5	1	1	1	10	1	185	1105	255	39	74.144882	账单
5	1	1	1	10	2	292	1076	42	94	96.352425	期
5	1	1	1	10	3	333	1076	36	94	34.154572	未
5	1	1	1	10	4	369	1105	71	39	76.164185	余额
4	1	1	1	11	0	186	1168	909	84	-1	
5	1	1	1	11	1	186	1168	156	84	51.795193	3000||
5	1	1	1	11	2	837	1190	80	39	89.973434	差异
5	1	1	1	11	3	949	1209	1	4	63.411633	-
5	1	1	1	11	4	960	1193	135	31	63.411633	Y75.00
