level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	600	-1	
2	1	1	0	0	0	0	63	1264	537	-1	
3	1	1	1	0	0	0	63	1264	537	-1	
4	1	1	1	1	0	129	63	204	37	-1	
5	1	1	1	1	1	129	63	78	37	93.277367	期
5	1	1	1	1	2	200	53	32	55	86.541672	初
5	1	1	1	1	3	226	65	107	31	86.541672	Y0.00
4	1	1	1	2	0	185	205	254	38	-1	
5	1	1	1	2	1	185	205	254	38	96.062904	账单
5	1	1	1	2	2	294	198	35	55	93.015457	期
5	1	1	1	2	3	328	198	43	55	90.960281	末
5	1	1	1	2	4	370	198	45	55	86.934822	余
5	1	1	1	2	5	414	198	29	55	87.222351	额
4	1	1	1	3	0	186	290	908	41	-1	
5	1	1	1	3	1	186	291	130	40	87.609749	3000
5	1	1	1	3	2	837	290	80	39	92.727257	差异
5	1	1	1	3	3	945	309	1	4	91.229797	-
5	1	1	1	3	4	960	293	134	31	89.441597	Y75.00
4	1	1	1	4	0	0	544	1264	56	-1	
5	1	1	1	4	1	0	544	1264	56	19.961910	RE
