level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	500	-1	
2	1	1	0	0	0	0	105	1264	395	-1	
3	1	1	1	0	0	0	105	1264	395	-1	
4	1	1	1	1	0	185	105	254	38	-1	
5	1	1	1	1	1	185	105	254	38	96.062904	账单
5	1	1	1	1	2	294	98	35	55	93.015457	期
5	1	1	1	1	3	328	98	43	55	90.960281	末
5	1	1	1	1	4	370	98	45	55	86.934822	余
5	1	1	1	1	5	414	98	29	55	87.222351	额
4	1	1	1	2	0	186	190	908	41	-1	
5	1	1	1	2	1	186	191	130	40	87.609749	3000
5	1	1	1	2	2	837	190	80	39	92.727257	差异
5	1	1	1	2	3	945	209	1	4	91.229797	-
5	1	1	1	2	4	960	193	134	31	89.441597	Y75.00
4	1	1	1	3	0	0	444	1264	56	-1	
5	1	1	1	3	1	0	444	1264	56	19.961910	RE
