level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	1100	-1	
2	1	1	0	0	0	128	33	965	1000	-1	
3	1	1	1	0	0	128	33	965	1000	-1	
4	1	1	1	1	0	169	33	654	78	-1	
5	1	1	1	1	1	169	33	228	78	0.000000	Y#3,640.00
5	1	1	1	1	2	696	54	127	36	43.388805	Y#0.00
4	1	1	1	2	0	171	222	605	39	-1	
5	1	1	1	2	1	171	223	37	38	93.238556	转
5	1	1	1	2	2	225	224	27	37	96.927773	入
5	1	1	1	2	3	698	222	78	39	93.136574	转
5	1	1	1	2	4	752	205	25	78	96.956673	出
4	1	1	1	3	0	169	283	654	78	-1	
5	1	1	1	3	1	169	283	127	78	23.984165	Y#0.00
5	1	1	1	3	2	696	303	127	36	22.949795	Y#0.00
4	1	1	1	4	0	170	562	608	41	-1	
5	1	1	1	4	1	170	563	39	38	93.031731	净
5	1	1	1	4	2	224	562	28	40	87.630966	变
5	1	1	1	4	3	273	563	20	40	92.393730	动
5	1	1	1	4	4	697	563	81	39	96.677940	期
5	1	1	1	4	5	751	546	30	78	86.286003	末
4	1	1	1	5	0	169	622	755	78	-1	
5	1	1	1	5	1	169	622	228	78	0.000000	Y#3,640.00
5	1	1	1	5	2	696	643	228	40	0.000000	Y#3,640.00
4	1	1	1	6	0	128	762	205	38	-1	
5	1	1	1	6	1	128	762	80	38	91.752876	期
5	1	1	1	6	2	202	742	30	78	86.633400	初
5	1	1	1	6	3	225	765	108	31	86.633400	Y0.00
4	1	1	1	7	0	129	839	743	36	-1	
5	1	1	1	7	1	129	839	99	35	60.446068	筛选
5	1	1	1	7	2	227	818	54	78	96.721024	汇总
5	1	1	1	7	3	300	841	17	33	97.007652	用
5	1	1	1	7	4	334	841	26	33	96.384018	于
5	1	1	1	7	5	378	818	79	78	96.639374	观察
5	1	1	1	7	6	456	839	22	35	89.077469	净
5	1	1	1	7	7	495	839	55	35	89.559296	变
5	1	1	1	7	8	568	866	3	9	92.488823	动
5	1	1	1	7	9	583	818	30	78	91.997780	，
5	1	1	1	7	10	612	842	23	32	93.071220	不
5	1	1	1	7	11	651	839	63	35	96.749397	代表
5	1	1	1	7	12	734	839	58	35	96.887909	真实
5	1	1	1	7	13	812	839	60	35	87.166809	余额
4	1	1	1	8	0	185	981	908	52	-1	
5	1	1	1	8	1	185	981	165	52	96.083878	账单
5	1	1	1	8	2	332	977	49	78	92.547028	期
5	1	1	1	8	3	380	982	30	51	76.879509	末
5	1	1	1	8	4	416	981	110	52	78.491440	余
5	1	1	1	8	5	493	977	35	78	80.325592	额
5	1	1	1	8	6	968	990	81	39	90.488594	差异
5	1	1	1	8	7	1066	1009	27	4	86.002327	--
