level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	800	-1	
2	1	1	0	0	0	0	63	1264	737	-1	
3	1	1	1	0	0	0	63	1264	737	-1	
4	1	1	1	1	0	170	63	608	40	-1	
5	1	1	1	1	1	170	63	38	38	86.060699	净
5	1	1	1	1	2	225	63	26	39	77.264175	变
5	1	1	1	1	3	266	63	27	40	25.801258	动
5	1	1	1	1	4	698	63	80	38	89.765823	期
5	1	1	1	1	5	753	33	25	95	10.250797	未
4	1	1	1	2	0	169	143	755	40	-1	
5	1	1	1	2	1	169	143	27	34	0.000000	半
5	1	1	1	2	2	199	143	198	40	91.295097	3,640.00
5	1	1	1	2	3	697	143	26	34	0.000000	半
5	1	1	1	2	4	726	143	198	40	85.912170	3,640.00
4	1	1	1	3	0	129	263	204	37	-1	
5	1	1	1	3	1	129	263	78	37	93.213264	期
5	1	1	1	3	2	199	258	37	57	92.555008	初
5	1	1	1	3	3	226	265	107	31	70.847923	Y0.00
4	1	1	1	4	0	185	405	255	38	-1	
5	1	1	1	4	1	185	405	255	38	42.040878	账单
5	1	1	1	4	2	293	375	43	95	95.714310	期
5	1	1	1	4	3	335	375	36	95	61.994881	未
5	1	1	1	4	4	371	405	69	38	57.455788	余额
4	1	1	1	5	0	186	468	908	84	-1	
5	1	1	1	5	1	186	468	156	84	51.795193	3000||
5	1	1	1	5	2	837	490	80	39	91.314827	差异
5	1	1	1	5	3	960	493	134	31	51.007805	-Y75.00
4	1	1	1	6	0	0	744	1264	56	-1	
5	1	1	1	6	1	0	744	1264	56	19.961910	RE
