level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	2800	-1	
2	1	1	0	0	0	70	53	1085	2630	-1	
3	1	1	1	0	0	70	53	1085	2630	-1	
4	1	1	1	1	0	117	53	1038	49	-1	
5	1	1	1	1	1	117	56	127	41	54.679836	10:11
5	1	1	1	1	2	280	57	27	40	54.679836	@
5	1	1	1	1	3	349	66	23	23	11.095943	人
5	1	1	1	1	4	806	53	349	49	2.070913	TITIOOL
4	1	1	1	2	0	70	200	713	73	-1	
5	1	1	1	2	1	70	210	56	56	80.941483	和
5	1	1	1	2	2	482	200	142	73	95.448471	交易
5	1	1	1	2	3	661	200	122	71	94.904938	详情
4	1	1	1	3	0	456	430	350	82	-1	
5	1	1	1	3	1	456	432	109	79	0.000000	半
5	1	1	1	3	2	587	430	219	82	90.412651	18.50
4	1	1	1	4	0	585	587	95	45	-1	
5	1	1	1	4	1	585	587	95	45	94.787605	转账
4	1	1	1	5	0	495	656	274	38	-1	
5	1	1	1	5	1	495	656	80	38	96.925011	现金
5	1	1	1	5	2	608	666	17	21	26.995773	人
5	1	1	1	5	3	646	657	123	37	92.910416	银行
5	1	1	1	5	4	746	638	26	67	92.614197	卡
4	1	1	1	6	0	129	852	368	42	-1	
5	1	1	1	6	1	129	856	37	37	96.806572	类
5	1	1	1	6	2	179	856	29	36	95.943962	型
5	1	1	1	6	3	409	852	88	42	96.425148	转账
4	1	1	1	7	0	131	965	661	37	-1	
5	1	1	1	7	1	131	965	35	37	93.284065	时
5	1	1	1	7	2	174	965	32	37	91.393158	间
5	1	1	1	7	3	408	965	250	33	67.591377	2020-01-20
5	1	1	1	7	4	673	965	119	33	83.672951	09:00
4	1	1	1	8	0	129	1072	430	38	-1	
5	1	1	1	8	1	129	1073	52	37	93.087662	来
5	1	1	1	8	2	186	1075	23	35	91.914581	源
5	1	1	1	8	3	410	1072	149	34	91.384888	Manual
4	1	1	1	9	0	129	1303	368	44	-1	
5	1	1	1	9	1	129	1307	76	39	94.642509	账户
5	1	1	1	9	2	408	1303	89	44	96.715454	现金
4	1	1	1	10	0	129	1413	413	41	-1	
5	1	1	1	10	1	129	1415	37	38	93.052597	转
5	1	1	1	10	2	187	1417	44	36	96.601746	入
5	1	1	1	10	3	233	1397	93	67	95.943237	账户
5	1	1	1	10	4	408	1413	134	41	59.349209	“银行
5	1	1	1	10	5	518	1397	26	67	92.950737	卡
4	1	1	1	11	0	129	1647	659	42	-1	
5	1	1	1	11	1	129	1650	80	38	96.743965	备注
5	1	1	1	11	2	408	1647	249	42	92.774940	GG
5	1	1	1	11	3	486	1633	55	66	92.389626	测
5	1	1	1	11	4	540	1633	50	66	90.404648	试
5	1	1	1	11	5	589	1647	68	42	56.474869	数据
5	1	1	1	11	6	674	1647	114	42	95.921371	支出
5	1	1	1	11	7	771	1633	21	66	90.660583	1
4	1	1	1	12	0	128	1755	369	42	-1	
5	1	1	1	12	1	128	1758	98	38	94.309113	原始
5	1	1	1	12	2	228	1758	67	38	52.610813	信息
5	1	1	1	12	3	409	1755	88	42	54.197395	转账
4	1	1	1	13	0	293	2638	677	45	-1	
5	1	1	1	13	1	293	2639	95	44	95.456779	删除
5	1	1	1	13	2	876	2638	94	45	96.100975	编辑
