level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	2800	-1	
2	1	1	0	0	0	0	53	1264	2747	-1	
3	1	1	1	0	0	0	53	1264	2747	-1	
4	1	1	1	1	0	114	53	1041	49	-1	
5	1	1	1	1	1	114	56	137	41	92.444817	08:27
5	1	1	1	1	2	806	54	35	46	0.000000	届
5	1	1	1	1	3	859	54	46	46	40.726242	@
5	1	1	1	1	4	928	54	40	48	44.740913	党
5	1	1	1	1	5	988	55	59	42	0.000000	莉
5	1	1	1	1	6	1047	20	21	109	30.485481	|
5	1	1	1	1	7	1071	53	84	46	0.000000	四
4	1	1	1	2	0	71	201	1140	72	-1	
5	1	1	1	2	1	71	211	55	54	38.301544	和
5	1	1	1	2	2	471	201	149	72	96.700912	现金
5	1	1	1	2	3	644	202	149	71	93.157372	对
5	1	1	1	2	4	773	193	76	109	87.715889	账
5	1	1	1	2	5	981	203	62	70	34.483986	上
5	1	1	1	2	6	1018	193	63	109	8.892832	首
5	1	1	1	2	7	1149	210	62	56	0.000000	到
4	1	1	1	3	0	135	458	813	52	-1	
5	1	1	1	3	1	135	459	57	36	95.223167	日
5	1	1	1	3	2	193	460	14	36	92.702278	期
5	1	1	1	3	3	232	458	20	37	92.530746	范
5	1	1	1	3	4	265	461	27	35	84.634262	转
5	1	1	1	3	5	901	495	47	15	22.497778	_
4	1	1	1	4	0	901	496	179	46	-1	
5	1	1	1	4	1	901	511	47	31	0.000000	茜
5	1	1	1	4	2	985	496	95	45	95.722229	修改
4	1	1	1	5	0	128	536	585	36	-1	
5	1	1	1	5	1	128	536	267	36	65.807114	2020-01-01
5	1	1	1	5	2	415	554	12	5	85.388153	-
5	1	1	1	5	3	446	536	267	36	55.767292	2020-01-23
4	1	1	1	6	0	131	737	885	40	-1	
5	1	1	1	6	1	131	738	39	38	96.910271	本
5	1	1	1	6	2	179	740	27	37	93.385178	月
5	1	1	1	6	3	364	738	37	37	94.518280	上
5	1	1	1	6	4	408	740	30	37	91.043671	月
5	1	1	1	6	5	595	737	38	36	92.549934	近
5	1	1	1	6	6	638	739	20	31	92.446503	7
5	1	1	1	6	7	664	739	36	35	90.422661	天
5	1	1	1	6	8	851	738	81	38	96.670525	测试
5	1	1	1	6	9	953	738	63	38	96.874390	数据
4	1	1	1	7	0	114	933	853	40	-1	
5	1	1	1	7	1	191	933	80	39	93.667450	全
5	1	1	1	7	2	241	929	34	60	93.018768	部
