level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	2800	-1	
2	1	1	0	0	0	0	53	1264	2747	-1	
3	1	1	1	0	0	0	53	1264	2747	-1	
4	1	1	1	1	0	114	53	1041	49	-1	
5	1	1	1	1	1	114	56	130	41	89.999969	08:31
5	1	1	1	1	2	806	53	349	49	0.000000	NTTETOOL
4	1	1	1	2	0	71	201	1140	72	-1	
5	1	1	1	2	1	71	211	55	54	93.410416	一
5	1	1	1	2	2	471	201	149	72	96.720543	现金
5	1	1	1	2	3	681	202	68	71	93.175308	对
5	1	1	1	2	4	753	202	40	69	59.269676	账
5	1	1	1	2	5	981	203	62	70	34.744358	加
5	1	1	1	2	6	1149	210	62	56	0.000000	共
4	1	1	1	3	0	135	458	813	52	-1	
5	1	1	1	3	1	135	459	57	36	95.223167	日
5	1	1	1	3	2	193	460	14	36	92.702278	期
5	1	1	1	3	3	232	458	20	37	92.530746	范
5	1	1	1	3	4	265	461	27	35	84.634262	转
5	1	1	1	3	5	901	495	47	15	22.497778	_
4	1	1	1	4	0	901	496	179	46	-1	
5	1	1	1	4	1	901	511	47	31	15.570650	于
5	1	1	1	4	2	985	496	95	45	93.095169	修改
4	1	1	1	5	0	128	536	585	36	-1	
5	1	1	1	5	1	128	536	268	36	80.835693	2020-01-17
5	1	1	1	5	2	415	554	12	5	91.690269	-
5	1	1	1	5	3	446	536	267	36	77.731010	2020-01-23
4	1	1	1	6	0	131	737	885	40	-1	
5	1	1	1	6	1	131	738	39	38	95.510643	本
5	1	1	1	6	2	177	740	29	37	92.269859	月
5	1	1	1	6	3	364	738	37	37	96.768211	上
5	1	1	1	6	4	408	740	30	37	93.541946	月
5	1	1	1	6	5	595	737	38	36	91.726837	近
5	1	1	1	6	6	638	739	20	31	92.227921	7
5	1	1	1	6	7	665	739	35	35	92.055588	天
5	1	1	1	6	8	851	738	81	38	96.602943	测试
5	1	1	1	6	9	955	738	61	38	96.551620	数据
4	1	1	1	7	0	114	933	853	40	-1	
5	1	1	1	7	1	191	933	80	39	94.246597	全
5	1	1	1	7	2	240	929	35	55	95.494659	部
5	1	1	1	7	3	424	934	80	38	96.403992	收入
5	1	1	1	7	4	655	934	77	38	96.898369	支出
5	1	1	1	7	5	887	934	80	39	95.137024	转账
4	1	1	1	8	0	73	1129	637	39	-1	
5	1	1	1	8	1	73	1131	80	37	95.549622	汇总
5	1	1	1	8	2	175	1125	108	55	21.376848	范围
5	1	1	1	8	3	321	1135	34	25	21.376848	Y
5	1	1	1	8	4	397	1129	81	39	94.767311	全
5	1	1	1	8	5	447	1125	35	55	94.835632	部
5	1	1	1	8	6	630	1130	80	38	0.000000	科
5	1	1	1	8	7	680	1126	34	54	0.000000	选
4	1	1	1	9	0	129	1330	194	45	-1	
5	1	1	1	9	1	129	1330	194	45	93.262383	期
5	1	1	1	9	2	198	1325	48	62	90.977013	间
5	1	1	1	9	3	245	1325	47	62	93.096771	汇
5	1	1	1	9	4	291	1325	36	62	96.907478	总
4	1	1	1	10	0	172	1475	603	38	-1	
5	1	1	1	10	1	172	1475	80	38	96.486168	收入
5	1	1	1	10	2	698	1475	77	38	96.839790	支出
4	1	1	1	11	0	169	1555	784	40	-1	
5	1	1	1	11	1	169	1555	228	40	0.000000	Y1,820.00
5	1	1	1	11	2	696	1555	257	40	0.000000	Y32,561.30
4	1	1	1	12	0	171	1723	605	38	-1	
5	1	1	1	12	1	171	1723	37	38	91.396622	转
5	1	1	1	12	2	227	1724	25	37	96.769981	入
5	1	1	1	12	3	698	1723	78	38	92.742058	转
5	1	1	1	12	4	751	1719	28	54	96.983009	出
4	1	1	1	13	0	169	1804	711	34	-1	
5	1	1	1	13	1	169	1804	27	34	0.000000	半
5	1	1	1	13	2	201	1804	153	34	91.716209	450.00
5	1	1	1	13	3	696	1804	184	34	0.000000	x418.50
4	1	1	1	14	0	170	2063	608	40	-1	
5	1	1	1	14	1	170	2063	39	38	92.911583	净
5	1	1	1	14	2	224	2063	27	39	79.666420	变
5	1	1	1	14	3	269	2063	24	40	92.589989	动
5	1	1	1	14	4	698	2063	80	38	93.088562	期
5	1	1	1	14	5	751	2059	31	54	92.496010	末
4	1	1	1	15	0	171	2143	802	40	-1	
5	1	1	1	15	1	171	2143	276	40	0.000000	-30,709.80
5	1	1	1	15	2	698	2158	14	6	89.216194	-
5	1	1	1	15	3	727	2143	16	34	0.000000	半
5	1	1	1	15	4	747	2143	226	40	86.060081	24,855.30
4	1	1	1	16	0	129	2263	290	38	-1	
5	1	1	1	16	1	129	2263	78	37	93.257355	期
5	1	1	1	16	2	225	2265	11	31	92.548264	初
5	1	1	1	16	3	235	2265	184	36	58.363777	Y5,854.50
4	1	1	1	17	0	186	2411	340	52	-1	
5	1	1	1	17	1	186	2411	340	52	94.879395	账单
5	1	1	1	17	2	329	2384	56	98	94.442230	期
5	1	1	1	17	3	384	2384	56	98	87.527893	未
5	1	1	1	17	4	439	2411	86	52	90.689934	余额
4	1	1	1	18	0	152	2613	977	52	-1	
5	1	1	1	18	1	152	2616	44	45	93.108360	Q
5	1	1	1	18	2	277	2614	135	51	59.361553	查找
5	1	1	1	18	3	414	2613	86	52	93.856377	账单
5	1	1	1	18	4	877	2616	252	47	25.304943	亲王
4	1	1	1	19	0	0	2744	1264	56	-1	
5	1	1	1	19	1	0	2744	1264	56	23.436918	RE
