level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1264	800	-1	
2	1	1	0	0	0	73	29	808	710	-1	
3	1	1	1	0	0	73	29	808	710	-1	
4	1	1	1	1	0	73	29	637	40	-1	
5	1	1	1	1	1	73	30	80	38	96.774849	汇总
5	1	1	1	1	2	175	25	108	59	94.360100	范围
5	1	1	1	1	3	320	35	35	26	71.151367	“六
5	1	1	1	1	4	397	29	81	39	94.111404	全
5	1	1	1	1	5	445	25	38	59	93.646637	部
5	1	1	1	1	6	630	30	80	39	86.565643	筛选
4	1	1	1	2	0	128	229	195	46	-1	
5	1	1	1	2	1	128	230	68	45	93.274239	期
5	1	1	1	2	2	200	230	43	44	92.624138	间
5	1	1	1	2	3	245	229	78	45	92.679688	汇
5	1	1	1	2	4	289	225	35	68	96.781433	总
4	1	1	1	3	0	172	375	604	38	-1	
5	1	1	1	3	1	172	375	80	38	96.803360	收入
5	1	1	1	3	2	698	375	78	38	96.878815	支出
4	1	1	1	4	0	169	454	654	36	-1	
5	1	1	1	4	1	169	455	27	34	0.000000	半
5	1	1	1	4	2	200	455	96	34	92.577698	0.00
5	1	1	1	4	3	696	455	27	34	0.000000	关
5	1	1	1	4	4	726	454	97	36	92.270592	0.00
4	1	1	1	5	0	171	623	605	38	-1	
5	1	1	1	5	1	171	623	37	38	88.998505	转
5	1	1	1	5	2	226	624	26	37	93.191498	入
5	1	1	1	5	3	698	623	78	38	93.115051	转
5	1	1	1	5	4	753	619	26	59	96.975525	出
4	1	1	1	6	0	169	703	712	36	-1	
5	1	1	1	6	1	169	703	185	36	0.000000	300.00
5	1	1	1	6	2	696	704	27	34	0.000000	关
5	1	1	1	6	3	725	703	156	36	91.604706	400.00
